,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,95,AU,1571178046,67,-33.64,115.35,45.0,6.55
1,Cockburn Town,40,TC,1571178047,70,21.46,-71.14,84.2,4.7
2,Ekhabi,60,RU,1571178047,82,53.51,142.97,31.93,6.4
3,Santa Maria,34,BR,1571178047,22,-16.02,-48.01,86.0,9.17
4,Anadyr,40,RU,1571178047,96,64.73,177.51,37.4,29.08
5,Tiksi,100,RU,1571178047,88,71.64,128.87,14.68,5.62
6,Merauke,27,ID,1571178047,83,-8.49,140.4,73.67,7.24
7,Rikitea,1,PF,1571178048,87,-23.12,-134.97,74.35,8.33
8,Vila Velha,40,BR,1571178048,74,-3.71,-38.6,80.6,9.17
9,Datong,100,CN,1571178048,36,40.09,113.3,47.25,3.77
10,Jamestown,96,AU,1571178048,93,-33.21,138.6,48.85,8.29
11,Atuona,0,PF,1571178048,70,-9.8,-139.03,79.27,19.88
12,Prince Albert,90,CA,1571178048,55,53.2,-105.75,39.2,2.24
13,Avarua,40,CK,1571178049,61,-21.21,-159.78,77.0,10.29
14,Saskylakh,99,RU,1571178049,98,71.97,114.09,8.33,1.63
15,Mataura,100,NZ,1571178049,80,-46.19,168.86,54.0,1.01
16,Nieuw Amsterdam,20,SR,1571178049,74,5.88,-55.08,84.2,6.93
17,Waiouru,100,NZ,1571178049,99,-39.48,175.67,47.28,6.86
18,Cape Town,0,ZA,1571178049,82,-33.93,18.42,61.0,11.41
19,Khatanga,100,RU,1571178049,93,71.98,102.47,10.98,13.12
20,Carnarvon,76,ZA,1571178050,13,-30.97,22.13,62.46,11.81
21,Votice,0,CZ,1571178050,93,49.64,14.64,50.0,6.93
22,Punta Arenas,0,CL,1571178050,66,-53.16,-70.91,48.2,11.41
23,Hilo,1,US,1571178050,58,19.71,-155.08,86.0,10.29
24,Awjilah,67,LY,1571178050,31,29.14,21.3,80.6,12.95
25,Arraial do Cabo,40,BR,1571178050,88,-22.97,-42.02,77.0,8.05
26,Saint-Joseph,0,FR,1571178051,55,43.56,6.97,62.6,20.8
27,Sorland,34,NO,1571178051,56,67.67,12.69,44.51,4.12
28,San Andres,49,PH,1571178051,90,13.32,122.68,75.16,5.61
29,Srednekolymsk,94,RU,1571178051,94,67.46,153.71,17.98,11.72
30,Qaanaaq,100,GL,1571178051,92,77.48,-69.36,18.79,6.36
31,Klaksvik,97,FO,1571178051,81,62.23,-6.59,50.0,24.16
32,Vaini,100,IN,1571178052,86,15.34,74.49,71.73,6.93
33,Moree,0,AU,1571178052,60,-29.46,149.84,75.2,21.92
34,Bredasdorp,0,ZA,1571178052,93,-34.53,20.04,53.01,1.12
35,Ushuaia,14,AR,1571178052,66,-54.81,-68.31,48.2,12.75
36,Faanui,8,PF,1571178052,79,-16.48,-151.75,79.81,10.82
37,Kropotkin,0,RU,1571178052,43,45.43,40.58,64.0,6.56
38,Pathein,0,MM,1571178053,87,16.78,94.73,77.04,3.73
39,East London,0,ZA,1571178053,74,-33.02,27.91,64.62,12.78
40,Lasa,7,CY,1571178053,50,34.92,32.53,77.0,2.24
41,Yellowknife,90,CA,1571178053,76,62.45,-114.38,32.0,17.22
